local_hour,FIRA,Total
0,-0.013543016978884725,-0.013543016978884725
1,-0.0171893316793858,-0.0171893316793858
2,-0.017501048494404887,-0.017501048494404887
3,-0.016615983696880984,-0.016615983696880984
4,-0.0052393999272256665,-0.0052393999272256665
5,0.004810194418990056,0.004810194418990056
6,-0.015206930840220128,-0.015206930840220128
7,0.010707165031288128,0.010707165031288128
8,0.0056982284411176256,0.0056982284411176256
9,-0.022508128130418678,-0.022508128130418678
10,-0.016025502388776716,-0.016025502388776716
11,-0.011448219922222471,-0.011448219922222471
12,-0.008244256077544707,-0.008244256077544707
13,-0.0029755509139094663,-0.0029755509139094663
14,-0.0048584475394193105,-0.0048584475394193105
15,-0.013887147907991556,-0.013887147907991556
16,-0.02520974927720805,-0.02520974927720805
17,-0.028110686107497267,-0.028110686107497267
18,-0.02615082992605395,-0.02615082992605395
19,-0.02112005713145609,-0.02112005713145609
20,-0.01581442814003557,-0.01581442814003557
21,-0.014170621333930879,-0.014170621333930879
22,-0.012832545229801161,-0.012832545229801161
23,-0.012827540776714684,-0.012827540776714684
