local_hour,FGR,Total
0,0.0005707272224500202,0.0005707272224500202
1,-0.0007684908472315355,-0.0007684908472315355
2,-0.0013170941388007177,-0.0013170941388007177
3,-0.003606376125457597,-0.003606376125457597
4,-0.005599305809954918,-0.005599305809954918
5,-0.004618340071607634,-0.004618340071607634
6,-0.0029792347449055356,-0.0029792347449055356
7,-0.0063598733807192906,-0.0063598733807192906
8,-0.007124774082119456,-0.007124774082119456
9,-0.009939471651256552,-0.009939471651256552
10,-0.011025703366847245,-0.011025703366847245
11,-0.008123521756497967,-0.008123521756497967
12,-0.006608446064338016,-0.006608446064338016
13,-0.004405748490206504,-0.004405748490206504
14,-0.001751306227821228,-0.001751306227821228
15,-0.0016249530525752822,-0.0016249530525752822
16,-0.0021315198479728453,-0.0021315198479728453
17,-0.0009090385497520858,-0.0009090385497520858
18,0.003489177083239259,0.003489177083239259
19,0.006667937845628112,0.006667937845628112
20,0.005042247263773475,0.005042247263773475
21,0.003146429413946269,0.003146429413946269
22,0.0018809528057748199,0.0018809528057748199
23,0.001177814669144529,0.001177814669144529
