local_hour,FSH,Total
0,0.04340557029948446,0.04340557029948446
1,0.046103943630282196,0.046103943630282196
2,0.04871268359443661,0.04871268359443661
3,0.045695140616074686,0.045695140616074686
4,0.03833019897994172,0.03833019897994172
5,0.029741048463581835,0.029741048463581835
6,0.023962942766520504,0.023962942766520504
7,0.011906550785869583,0.011906550785869583
8,-0.0038509496328836645,-0.0038509496328836645
9,-0.017789303219798623,-0.017789303219798623
10,-0.018194245338561926,-0.018194245338561926
11,-0.013037961130088715,-0.013037961130088715
12,-0.00765664853055906,-0.00765664853055906
13,-0.007627789303242759,-0.007627789303242759
14,-0.00542845346959999,-0.00542845346959999
15,-0.004442534785776537,-0.004442534785776537
16,-0.0017400918155561426,-0.0017400918155561426
17,0.002715301066150237,0.002715301066150237
18,0.012927713845465883,0.012927713845465883
19,0.03332419037712895,0.03332419037712895
20,0.044245897799056,0.044245897799056
21,0.04922068893743262,0.04922068893743262
22,0.050941883232573,0.050941883232573
23,0.047995879702132406,0.047995879702132406
