local_hour,Double_Differencing_Q2M,hw_nohw_diff_Q2M,Total
0,-9.580486e-06,0.0008797811,0.0008702006
1,-9.32877e-06,0.0008735078,0.00086417905
2,-4.3242576e-06,0.00086992665,0.0008656024
3,6.9519992e-06,0.00089560176,0.00090255373
4,1.570784e-05,0.0009386981,0.000954406
5,-4.7652222e-05,0.001036321,0.0009886689
6,-0.0002845904,0.0012770607,0.0009924703
7,-0.00054516987,0.0015087762,0.00096360635
8,-0.0006160339,0.00155652,0.0009404861
9,-0.00044020845,0.0013700129,0.0009298044
10,-0.00025555943,0.0011065541,0.0008509946
11,-0.00016367053,0.00091530883,0.0007516383
12,-0.00010193547,0.00077386777,0.0006719323
13,-7.0193e-05,0.0006916878,0.00062149484
14,-7.0212314e-05,0.00068158354,0.00061137124
15,-0.000105845924,0.00073878723,0.0006329413
16,-0.00016180535,0.00085053657,0.0006887312
17,-0.00022537426,0.0009913549,0.0007659807
18,-0.00031124018,0.0011296044,0.0008183642
19,-0.00033726354,0.0011587332,0.0008214696
20,-0.00016617977,0.0009824508,0.000816271
21,-5.4101274e-05,0.0008809782,0.0008268769
22,-2.5405652e-05,0.0008718217,0.00084641605
23,-1.518322e-05,0.00087704544,0.0008618622
