local_hour,U10,Total
0,0.005364679623190927,0.005364679623190927
1,0.00459442210917967,0.00459442210917967
2,0.0025501501600755146,0.0025501501600755146
3,0.0018585686106872298,0.0018585686106872298
4,0.003939633491975736,0.003939633491975736
5,0.00912829136968248,0.00912829136968248
6,0.006811260223485411,0.006811260223485411
7,0.0060940287629712205,0.0060940287629712205
8,0.003335423556793249,0.003335423556793249
9,0.003299393453673438,0.003299393453673438
10,-0.0004903978389825732,-0.0004903978389825732
11,0.005612553491119637,0.005612553491119637
12,0.007423363896873098,0.007423363896873098
13,0.008014696798628889,0.008014696798628889
14,0.006474498576903333,0.006474498576903333
15,0.005745396290264691,0.005745396290264691
16,0.0038824383764992955,0.0038824383764992955
17,0.004018655647742119,0.004018655647742119
18,0.004852439918555908,0.004852439918555908
19,0.006809596148793608,0.006809596148793608
20,0.005186495427142369,0.005186495427142369
21,0.003983157284824135,0.003983157284824135
22,0.0039951493702995375,0.0039951493702995375
23,0.004814834199609493,0.004814834199609493
