local_hour,Q2M,Total
0,-0.003458998041772902,-0.003458998041772902
1,-0.004223934156613822,-0.004223934156613822
2,-0.003931889897793432,-0.003931889897793432
3,-0.006139617601420781,-0.006139617601420781
4,-0.0073893828293735385,-0.0073893828293735385
5,-0.012466379760465142,-0.012466379760465142
6,-0.01139806487721609,-0.01139806487721609
7,0.012861141670366623,0.012861141670366623
8,0.03749645732893864,0.03749645732893864
9,0.03815455216444047,0.03815455216444047
10,0.04998940489355577,0.04998940489355577
11,0.04530089588026946,0.04530089588026946
12,0.03746260207063795,0.03746260207063795
13,0.03025501975808924,0.03025501975808924
14,0.03390208881979846,0.03390208881979846
15,0.0419257879377776,0.0419257879377776
16,0.04353349685706871,0.04353349685706871
17,0.038359667454695365,0.038359667454695365
18,0.01004599316857179,0.01004599316857179
19,-0.026016320864608266,-0.026016320864608266
20,-0.013285354915311071,-0.013285354915311071
21,-0.006734024419941377,-0.006734024419941377
22,-0.007001166137732112,-0.007001166137732112
23,-0.004168099792932774,-0.004168099792932774
